"","Year","difference","cal_remain_lag_one","cal_remain_lag_two","cal_remain_lag_three","accumulated_cal","persistent_deficit"
"225",924,-70552755,0,0,0,-21078934.4927,FALSE
"245",944,-77346724,0,0,0,-21270568.3610625,FALSE
"255",954,-79959789,0,0,0,-27362544.4518125,FALSE
"269",968,-20235732.5724,0,0,0,-11878479.278475,FALSE
"276",975,-110271343,0,0,0,-81909079.5493625,TRUE
"278",977,-42075250.50525,0,0,0,-23594012.3274,FALSE
"281",980,-121768829,0,0,0,-111121571.128225,TRUE
"282",981,-123859281,0,0,0,-118730549.112862,TRUE
"283",982,-14150466.51125,0,0,0,-13876043.497925,FALSE
"285",984,-18072165.57425,0,0,0,-15440281.795475,FALSE
"286",985,-16334786.2015,0,0,0,-14433981.2501625,FALSE
"287",986,-15506199.06125,0,0,0,-14628904.468325,FALSE
"289",988,-28325799.807,0,0,0,-13053624.0189,FALSE
"290",989,-33169677.75,0,0,0,-22139773.01415,FALSE
"291",990,-128493876.16575,0,0,0,-123403150.90305,TRUE
"292",991,-60877799.0805,0,0,0,-60877799.0805,TRUE
"293",992,-60974419.70325,0,0,0,-60974419.70325,TRUE
"294",993,-43995106.17575,0,0,0,-43995106.17575,FALSE
"295",994,-11655353.53025,0,0,0,-11655353.53025,FALSE
"296",995,-20000123.934025,0,0,0,-20000123.934025,FALSE
"298",997,-57191389.5615,0,0,0,-56639829.878925,FALSE
"299",998,-69059586.5265,0,0,0,-68661237.8668625,FALSE
"300",999,-28220251.38575,0,0,0,-28036398.158225,FALSE
"301",1000,-32259468.4025,0,0,0,-32259468.4025,FALSE
"302",1001,-49435067.0272,0,0,0,-49435067.0272,FALSE
"303",1002,-48337339.26375,0,0,0,-48337339.26375,FALSE
"304",1003,-62098534.52975,0,0,0,-62098534.52975,TRUE
"305",1004,-35418591.925,0,0,0,-35418591.925,FALSE
"306",1005,-161487417,0,0,0,-161487417,TRUE
"307",1006,-94389439.10125,0,0,0,-94389439.10125,TRUE
"308",1007,-6611971.39499998,0,0,0,-6611971.39499998,FALSE
"309",1008,-133108376.890698,0,0,0,-133108376.890698,TRUE
"310",1009,-40498106.4875,0,0,0,-40498106.4875,FALSE
"311",1010,-64402930.587,0,0,0,-64402930.587,FALSE
"312",1011,-67771995.97675,0,0,0,-67771995.97675,TRUE
"313",1012,-34739657.3695,0,0,0,-34739657.3695,FALSE
"314",1013,-46306213.95775,0,0,0,-46306213.95775,FALSE
"315",1014,-57621506.7685,0,0,0,-57621506.7685,FALSE
"316",1015,-60571254.15825,0,0,0,-60571254.15825,TRUE
"317",1016,-74766554.922,0,0,0,-74766554.922,TRUE
"318",1017,-28371407.465,0,0,0,-28371407.465,FALSE
"319",1018,-59275926.439,0,0,0,-59275926.439,FALSE
"320",1019,-55320474.6145,0,0,0,-55320474.6145,TRUE
"321",1020,-22621510.72575,0,0,0,-22621510.72575,FALSE
"322",1021,-44054681.87075,0,0,0,-44054681.87075,FALSE
"323",1022,-41399077.70125,0,0,0,-41399077.70125,FALSE
"324",1023,-89540984.484,0,0,0,-89540984.484,TRUE
"325",1024,-24724684.69025,0,0,0,-24724684.69025,FALSE
"326",1025,-57673344.9575,0,0,0,-57673344.9575,FALSE
"327",1026,-72058587.73375,0,0,0,-72058587.73375,TRUE
"328",1027,-14226052.17475,0,0,0,-14226052.17475,FALSE
"329",1028,-34077762.66475,0,0,0,-34077762.66475,FALSE
"330",1029,-43770498.8355,0,0,0,-43770498.8355,FALSE
"331",1030,-62440985.664,0,0,0,-62440985.664,FALSE
"332",1031,-130651802.201963,0,0,0,-130651802.201963,TRUE
"333",1032,-50018453.6885,0,0,0,-50018453.6885,TRUE
"334",1033,-69514495.99625,0,0,0,-69514495.99625,TRUE
"335",1034,-44360433.98725,0,0,0,-44360433.98725,FALSE
"336",1035,-158874352,0,0,0,-158874352,TRUE
"337",1036,-38267415.592575,0,0,0,-38267415.592575,FALSE
"338",1037,-40977520.9025,0,0,0,-40977520.9025,FALSE
"339",1038,-49318320.23675,0,0,0,-49318320.23675,FALSE
"340",1039,-29236883.359,0,0,0,-29236883.359,FALSE
"341",1040,-51882051.184,0,0,0,-51882051.184,FALSE
"342",1041,-64941527.343,0,0,0,-64941527.343,TRUE
"343",1042,-46499900.23025,0,0,0,-46499900.23025,FALSE
"344",1043,-156261287,0,0,0,-156261287,TRUE
"345",1044,-54990609.61975,0,0,0,-54990609.61975,TRUE
"346",1045,-22728358.71625,0,0,0,-22728358.71625,FALSE
"347",1046,-151565307.20775,0,0,0,-151565307.20775,TRUE
"348",1047,-28480114.0655,0,0,0,-28480114.0655,FALSE
"349",1048,-25936415.868275,0,0,0,-25936415.868275,FALSE
"350",1049,-46795988.83175,0,0,0,-46795988.83175,FALSE
"351",1050,-27036071.3335,0,0,0,-27036071.3335,FALSE
"352",1051,-37887332.49625,0,0,0,-37887332.49625,FALSE
"353",1052,-79050449.36325,0,0,0,-79050449.36325,FALSE
"354",1053,-15011376.76575,0,0,0,-15011376.76575,FALSE
"355",1054,-31910414.62175,0,0,0,-31910414.62175,FALSE
"356",1055,-35135692.4285,0,0,0,-35135692.4285,FALSE
"357",1056,-55220694.6625,0,0,0,-55220694.6625,FALSE
"358",1057,-62755491.20875,0,0,0,-62755491.20875,TRUE
"359",1058,-45450152.65725,0,0,0,-45450152.65725,FALSE
"361",1060,-33572716.91,0,0,0,-21256433.13095,FALSE
"362",1061,-55069866.322,0,0,0,-46174772.481575,FALSE
"363",1062,-46774627.6395,0,0,0,-42669199.71315,FALSE
"364",1063,-61090358.41025,0,0,0,-61090358.41025,TRUE
"365",1064,-21997640.49175,0,0,0,-21997640.49175,FALSE
"366",1065,-12991866.5565,0,0,0,-12991866.5565,FALSE
"367",1066,-42820029.74825,0,0,0,-42820029.74825,FALSE
"368",1067,-147899479,0,0,0,-147899479,TRUE
"369",1068,-147376866,0,0,0,-147376866,TRUE
"370",1069,-50444807.39375,0,0,0,-50444807.39375,FALSE
"371",1070,-19111693.639,0,0,0,-19111693.639,FALSE
"372",1071,-23619996.59325,0,0,0,-23619996.59325,FALSE
"373",1072,-10134899.762,0,0,0,-10134899.762,FALSE
"374",1073,-43370834.53575,0,0,0,-43370834.53575,FALSE
"376",1075,-56853434.74075,0,0,0,-44471162.6944,FALSE
"377",1076,-54229809.0425,0,0,0,-45287057.009025,FALSE
"378",1077,-43172226.82375,0,0,0,-39044802.8083,FALSE
"379",1078,-26594047.76975,0,0,0,-26594047.76975,FALSE
"380",1079,-19808032.576,0,0,0,-19808032.576,FALSE
"381",1080,-12239847.30875,0,0,0,-12239847.30875,FALSE
"382",1081,-22086454.77175,0,0,0,-22086454.77175,FALSE
