"","range"
"1",0.83592056505366
"2",0.870568686347899
"3",0.731751429341241
"4",0.922031356517288
"5",0.843018143105214
"6",0.882102388041632
"7",0.817567341118288
"8",0.793393271602806
"9",0.730247992522945
"10",0.91017560074664
"11",0.800428170318722
"12",0.374189413628996
"13",0.996488568672126
"14",1
"15",0.980190963572094
"16",0.750284181471633
"17",0.855225307950844
"18",0.899720057238375
"19",0.713464863049536
"20",0.748286270489442
"21",0.698020752790465
"22",0.849373502672382
"23",0.891502184043049
"24",0.876177049083177
"25",0.836044533211718
"26",0.730644202221343
"27",0.926794716595562
"28",0.956613023709667
"29",0.841293352108327
"30",0.585071864891305
"31",0.806764638889785
"32",0.870145250443918
"33",0.666912683199346
"34",0.810905556647411
"35",0.769621651206921
"36",0.799212468791225
"37",0.866750132159971
"38",0.762849121596499
"39",0.880741244529027
"40",0.838975328112746
"41",0.872448432456745
"42",0.835207949573919
"43",0.681781194668766
"44",0.970340772059616
"45",0.835384073703523
"46",0.887833002722183
"47",1
"48",0.806975531832787
"49",0.74253490875489
"50",0.879860550938632
"51",0.668456191085385
"52",0.893276302007684
"53",0.87714387887962
"54",0.747988845215579
"55",0.814713850933899
"56",0.69720705217587
"57",0.864698469977212
"58",0.711117403317549
"59",0.606130646990362
"60",0.900658289304384
"61",0.809136656380534
"62",0.877770962838237
"63",0.777773407021834
"64",1
"65",0.913940802486544
"66",0.720985464171919
"67",1
"68",0.869393969906824
"69",0.679773125055193
"70",0.800081196106642
"71",0.772213804070204
"72",0.855419716909512
"73",0.669754048259491
"74",0.857793036099157
"75",0.761332089369619
"76",0.649373548908979
"77",0.815288778428174
"78",0.77825534813433
"79",0.676472665330349
"80",0.696560283430066
"81",0.71849259499002
"82",0.631253333655352
"83",0.791250579674244
"84",0.737307002214832
"85",0.774614895549355
"86",0.822245018565917
"87",0.90028846703361
"88",0.935784769268486
"89",0.646842036574704
"90",0.804138460548001
"91",0.828611040186812
"92",0.640633480105294
"93",0.983840914696681
"94",0.839822240528266
"95",0.841047497691694
"96",0.887109689885681
"97",0.837822104678737
"98",0.830805244393996
"99",0.620973479750121
"100",0.886036502636701
