"","range"
"1",0.738864076711416
"2",0.790468128221784
"3",0.623553223357986
"4",0.448067712895013
"5",0.750258146042388
"6",0.600070530613944
"7",0.503438527118015
"8",0.665866353761095
"9",0.654582734596029
"10",0.524868497882748
"11",0.612259610180969
"12",0.693972782185957
"13",0.747390394539405
"14",0.916030358866194
"15",0.906442541546084
"16",0.580467516164177
"17",0.719368064838204
"18",0.727634402081883
"19",0.391810337143296
"20",0.722576726217511
"21",0.483258590470093
"22",0.902587247509225
"23",0.362197591357675
"24",0.491687626828124
"25",0.707906462313947
"26",0.863764923795831
"27",0.914065915638763
"28",0.609970122139552
"29",0.489652742333793
"30",0.638974457871472
"31",0.676579149404767
"32",0.710591780654428
"33",0.883064639195389
"34",0.725718665679024
"35",0.853659203627936
"36",0.753188520584259
"37",0.716100683804804
"38",0.740694228500912
"39",0.776574812710372
"40",0.698112264226169
"41",0.791207471045021
"42",0.719046590872868
"43",0.661167432511138
"44",0.518287196277798
"45",0.407671725496774
"46",0.581662891820703
"47",0.720697414180028
"48",0.461016406844767
"49",0.399540343821605
"50",0.958618632917515
"51",0.624783282967316
"52",0.486081380674865
"53",0.504129715153245
"54",0.64539403567903
"55",0.384383815367842
"56",0.552019424049996
"57",0.552978999114618
"58",0.441812734283686
"59",0.479629146250944
"60",1
"61",0.592269568436273
"62",0.707344312951229
"63",0.746864511247095
"64",0.829943835420264
"65",0.781027118844958
"66",0.692011462550795
"67",0.558376222592018
"68",0.691332245998687
"69",0.701012007755979
"70",0.716882516579237
"71",0.525469191324972
"72",0.628401904842452
"73",0.504880933258442
"74",0.912725016049441
"75",0.436768310450311
"76",0.729066730456299
"77",0.761203472016949
"78",0.727517879409538
"79",0.539567024488653
"80",0.732051239956515
"81",0.549838433098384
"82",0.579569459239556
"83",0.780343601976177
"84",0.494693287702172
"85",0.69973834953234
"86",0.849672261301655
"87",0.594099268699351
"88",0.815304189343048
"89",0.311821408105288
"90",0.571025992290921
"91",0.67622330744142
"92",1
"93",0.861116149894118
"94",0.462900082557858
"95",0.65702873865884
"96",0.709611972503514
"97",0.686779489045868
"98",0.749439196860273
"99",0.71160803305571
"100",0.527726286220724
