Year,mesatop_area,drainage_area,cal_per_mt_ha,cal_per_drainage_ha,community_needs
700,76.73729249,3.389133544,1983240,1538250,33447232
701,74.72016465,3.31362561,1924685,1746535,33447232
702,74.25133763,3.420832215,2741025,1599815,33969845
703,72.09845592,3.382598449,1995840,2120650,33969845
704,0,0,0,0,33969845
705,73.16027552,3.303467968,1984010,1758715,33969845
706,71.67436977,0.962377357,1650950,2068885,33969845
707,74.46209635,3.355321803,2432990,1838445,33969845
708,71.38846126,3.377694383,2857260,1925175,33969845
709,76.3326897,3.425741111,2133040,2207485,33969845
710,72.67884845,3.355840738,1967490,2358440,33969845
711,75.2766989,3.387414165,2278955,2057125,33969845
712,73.27104252,3.406837978,2308425,1914115,33969845
713,73.40189046,3.396506441,2340485,1768340,33969845
714,75.40773768,3.377888601,2401525,1886220,33969845
715,74.36439433,3.403029993,1960140,1942955,33969845
716,77.01835568,3.432783833,2446815,1690675,33969845
717,73.27737995,3.404304176,2189285,1594495,33969845
718,76.65063702,3.411546111,2612680,2004590,33969845
719,71.38613401,3.343618431,2116100,2059190,33969845
720,71.21117563,3.284717752,2031155,1938300,33969845
721,76.5069739,3.373126275,1908550,2015895,33969845
722,73.95514928,3.447266747,1829905,1681925,33969845
723,75.76874116,3.447504317,1645630,1590610,33969845
724,75.17269685,3.26656332,2303385,1845865,33969845
725,74.86081898,3.215941845,2148650,2262785,33969845
726,63.19148103,2.633283533,2505300,2012010,33969845
727,63.50945871,2.617070397,1545635,1719655,33969845
728,72.89825334,3.196471678,2449545,2004450,34492458
729,74.03402966,3.339213053,1876105,1683710,34492458
730,73.45568715,3.42415274,1802605,2109975,34492458
731,73.30370838,3.41703609,2027900,1721790,34492458
732,75.78638942,3.413706249,1946280,2109345,34492458
733,73.84913943,3.229715575,1627395,2046800,34492458
734,61.66212252,0.703952198,1952020,1827525,34492458
735,74.97814662,3.391830481,2074100,1786680,34492458
736,73.43070604,0.971047523,2108715,1919645,34492458
737,74.72090463,3.398823424,2174025,1803445,34492458
738,0,0,0,0,34492458
739,74.19391985,3.370937792,2242800,2069690,34492458
