Season,Garden,Variety,PFP experimental yield (kg/ha)
2009,CDG,Hopi Blue,133
2009,KUG,Hopi Sweet,0
2009,PHG,Hopi White,0
2009,PLC,Kokoma,0
2009,POG,Greasy-head,193
2010,CDG,Hopi White,1372
2010,KUG,Hopi Blue,186
2010,PHG,Hopi White,158
2010,PLC,Greasy-head & Hopi Blue,296
2010,POG,Greasy-head,360
2011,CDG,Hopi White,140
2011,KUG,Hopi Blue,37
2011,PHG,Qotsa qao,0
2011,PLC,Hopi Blue,1
2011,POG,Hopi White,253
2012,CDG,Hopi White,0
2012,KUG,Hopi Blue,3
2012,PHG,Hopi White,0
2012,PLC,Hopi Blue,0
2012,POG,Hopi White,0
2013,CDG,Hopi White,247
2013,KUG,Hopi Blue,35
2013,PHG,Hopi Blue,0
2013,PLC,Hopi Blue,6
2013,POG,Hopi White,1
2014,CDG,Hopi White,31
2014,KUG,Hopi Blue,2
2014,PHG,Hopi White,0
2014,PLC,Hopi Blue,0
2014,POG,Hopi White,0
2015,CDG,Hopi White,355
2015,KUG,Hopi Blue,193
2015,MCG,Hopi Blue,2567
2015,PLC,Hopi Blue,305
2015,POG,Hopi White,674
2016,CDG,Hopi White,897
2016,KUG,Hopi Blue,242
2016,MCG,Hopi Blue,708
2016,PLC,Hopi Blue,302
2016,POG,Hopi White,94
2017,CDG,Hopi White,1461
2017,KUG,Hopi Blue,128
2017,MCG,Hopi Blue,1817
2017,PLC,Hopi Blue,154
2017,POG,Hopi White,498
2018,CDG,Hopi White,0
2018,MCG,Hopi Blue,1032
2018,PLC,Hopi Blue,0
2018,POG,Hopi White,13
2019,CDG,Hopi White,1259
2019,MCG,Hopi Blue,2521
2019,PLC,Hopi Blue,79
2019,POG,Hopi White,149
2020,CDG,Hopi White,54
2020,MCG,Hopi Blue,1717
2020,PLC,Hopi Blue,0
2020,POG,Hopi White,72
2021,CDG,Hopi White,96
2021,MCG,Hopi Blue,5602
2021,PLC,Hopi Blue,0
2021,POG,Hopi White,513
